tau-22.0,tau-21.0,tau-20.0,tau-19.0,tau-18.0,tau-17.0,tau-16.0,tau-15.0,tau-14.0,tau-13.0,tau-12.0,tau-11.0,tau-10.0,tau-9.0,tau-8.0,tau-7.0,tau-6.0,tau-5.0,tau-4.0,tau-3.0,tau-2.0,tau-1.0,tau0.0,tau1.0,tau2.0,tau3.0,tau4.0,tau5.0,tau6.0,tau7.0,tau8.0,tau9.0,tau10.0,tau11.0,tau12.0,tau13.0
-0.012332348827500105,-0.010556782365852313,-0.002359614628623016,0.010123387775004926,0.002193218505383804,-0.006365661211259222,0.013835676326261736,0.008477494039134253,0.00983503734573103,0.0014948692157634917,-0.0016901788178795823,6.846716850599714e-5,-0.002748629497579193,-0.0023279796188004926,0.0005299361657472131,-0.0021734877141553473,-0.0030381466536953043,0.001776565554404313,0.004455874388601218,0.004439588805164747,0.0043260216650872745,0.003450356126136549,0.028357902995944238,0.05761433534355357,0.05984469203924,0.057796462807784194,0.060484357218692414,0.07101345507461838,0.08100141582699238,0.0969106636421036,0.11103551949604135,0.12525382373953367,0.12366442424646629,0.14000611299629204,0.15555757571736564,0.2533456813069224
-0.06591803752260894,-0.051742804440654655,-0.007956042762481668,0.011047821685584117,0.005400490528213909,-0.007756132920032714,0.0032347980275466543,0.0038949375611570646,0.010144629131565667,0.0021944963082377307,0.0008415234810364673,-0.00645102460918491,-0.0005153010134902501,-0.00115881059619837,-0.0014415480617506048,0.0037080535393545612,0.000774765056118169,0.0047283238241959385,0.003641129735595199,0.0025624828159613003,0.003021617306335091,-0.003549929954077692,0.014000251318206291,0.03475864195047852,0.028340777678520016,0.026133042300227966,0.024237748463421048,0.02274657402049666,0.03447258751639631,0.04477626167731566,0.05197582020206564,0.04916821367794946,0.04275394268050652,0.011757758370029268,0.00253004689903145,0.06391959773152005
-0.07064201390994684,-0.051570265678151164,-0.01642214127926913,0.0067811257332170026,-0.0046683348863405935,-0.0004069498403689247,0.0027416912102826846,0.0022299126976254844,0.005909134201578173,0.0027697714344486367,0.0012497866524169502,-0.0008604930117508488,-0.00243582531139558,-0.0035224553032679167,-0.0008374671672544053,0.0046467689563854195,0.001742060882231028,0.007131719530183091,0.009074049017570187,0.00041707474713220433,-0.0024041257105613923,-0.0068688374272252075,0.009960570828435643,0.03223534592767554,0.027901690908744343,0.024244286433970575,0.02742442591494772,0.03670871815642186,0.04791859128447134,0.05424332592735879,0.050977254088391606,0.040404641844890836,0.007761047907521686,-0.05052482080774864,-0.06549980251953796,0.048919948695633785
-0.003134405324973398,0.013606705213549388,0.011086421995372958,0.017472754300178056,0.010018947723256285,-0.004174730931495758,0.003751078467935126,0.01252576193412473,0.008512620098875408,-3.790291521213515e-5,-0.003693298354913826,-0.005072208372043685,-0.004317207165139824,-0.003032963149415101,-0.003419073850569557,0.0032992093637704994,0.0008641188990867382,0.004798792935358586,0.0033603797994666684,-0.0013949194876738302,0.00052027133376011,0.001576627784203444,0.028954455541722095,0.058997618219210256,0.05990694028276771,0.0601136835084693,0.07393499396841854,0.0877189792120608,0.10101347102097685,0.1219683086861576,0.14626419837447488,0.1447993440216771,0.15404350693587865,0.11509272424800322,0.1430983527537341,0.19299286155511475
-0.0014929022186108657,0.0024385729237215645,0.018963461055978997,0.017388132172438647,0.0054917136732740264,0.006952518109798208,0.012271985736308647,0.014637172194701377,0.00508019939757558,0.0008018053836226989,0.0010647737059245254,0.001147831580611213,0.0023698172586236045,9.754563538778278e-5,-0.0012456761792834547,-0.006366083608908684,-0.003975638750511551,0.0025624589606893537,0.006115297705817926,0.00431439409891874,0.0013707405046871199,0.007549712305604473,0.028160480823166516,0.052150136871255366,0.04333645806785524,0.04509760075631317,0.04510056905087669,0.05010876217128808,0.053860951881924704,0.07481536833677375,0.09073589715847741,0.09498577215778868,0.09369743194212302,0.061699826521625645,0.038912242847466604,0.09103916312862627
0.002363945450339022,-0.02155549239034513,0.002025784402649804,-0.0032647548727154927,0.0024171297072102527,-0.0033892393437967433,0.007490193968296674,0.00394820259198355,0.006307928200570279,-0.0010859288232927806,-0.001972044050731938,0.00013395112160928627,-0.0009109937094814662,-0.003201514038751439,-0.0022757752369278327,0.002077755521057921,0.0024690163435056134,0.0028634897835326982,0.005147359264212428,0.0020773401432295745,0.0017369241484094888,-0.005833461548353296,0.011006085631896551,0.04021902683201049,0.03791403571864075,0.037208359780041014,0.03565505059931792,0.040594552000705456,0.04856670022228241,0.0628309593639221,0.07123453031344519,0.06589456868014112,0.050472832616588865,0.03203491397011443,0.04281712603334738,0.09607115957892315
-0.003749351945782477,0.004752388612340847,-0.007683797410973131,0.01148313242620906,-0.002488399456266273,-0.0022224873649055264,-0.003422680655942928,0.004433485048668724,0.0004790925664289577,-0.0024674374137050796,-0.0045919610845702175,-0.004204384322762098,0.003241250702594132,0.000793029237283638,-0.0010681732864112677,0.0015365695571698743,-0.0013916066264272177,0.0023549842337389614,0.0040538288487876875,0.006560817101599244,0.0008474688329232998,0.00205187454863817,0.016960096018297594,0.049855104852236536,0.044585872901880666,0.04132273289772957,0.03983391778429509,0.045470618070982405,0.05378632219570994,0.07069752076053797,0.08127379710572111,0.06489535496349433,0.07080058892435967,0.05458094830330167,0.04512685259558134,0.07367199412160402
-0.008065068031778689,-0.0032522334537392816,-0.0005069762772208396,0.01519261065154633,0.003781345766342053,-0.004890358317100989,0.0023783711399257136,0.010229074481717145,0.009150294892497598,-0.0011153276255549784,-0.00831972438895616,-0.00723747657318491,-0.0056000394236066535,-0.004765944433701574,-0.002422404938239969,7.647006819587709e-5,-0.0017420761516658515,0.0032647597138761846,0.008706032854476617,0.0038747370222655636,0.00477087980520667,-0.0012720363925748362,0.013388380067885706,0.03494150567301057,0.02733416929187569,0.02537983663304678,0.02893525821027817,0.030675203980167997,0.03288077491734668,0.035835340417889494,0.03977741133798663,0.009660289950400976,-0.012392329869404502,-0.03260235509877388,-0.035313068311477756,0.061577758904750445
-0.00823951408100512,-0.022958603265009002,0.0004446981583882861,0.011250087986511602,0.011176867380704112,0.003123531194191917,0.011586144904950612,0.00933092347391074,0.005301120059558325,-0.0019496531027389128,-0.007406447917185144,-0.0027488149519951204,-0.005809634536931407,-0.005420512412452402,0.0006262869519559002,-0.00020305186128502238,0.0011924301056200949,0.003227075450339681,0.008687647516343508,0.0001677539741587282,0.0036438480188711337,-0.001406562547490807,0.018658671271061675,0.04505890939718393,0.03949419409668696,0.03291875241127334,0.04072044224177689,0.047149286121674544,0.056776177173353336,0.07687346282517794,0.08139326642883583,0.08833530427127587,0.08462631726964359,0.06147944621958684,0.01426840806388435,0.11491422441299463
-0.06537343351193797,-0.05892919341729576,-0.027609350870634174,-0.0254152883652465,-0.008042634992693785,-0.006996668159648611,-0.0022798998319213466,0.0016189180089585722,0.003228879159707395,-0.004143052524307684,-0.005616568953141785,0.001321053424649235,-0.002098926798395354,-0.004635952318240199,0.0007132023357340292,0.0024805188902165673,-0.0013724595456807431,0.0009897157085943591,0.006838021841086476,0.002255430819659965,0.004599527429497342,0.006648061496804383,0.028946208430415184,0.056251605170338566,0.058815471231065355,0.05768721296428983,0.06706214902094788,0.07492954700264387,0.08806792285106399,0.1065836591842823,0.125625827092851,0.1470981227849851,0.14367120199723146,0.17041966311122375,0.1780910869729659,0.14066088293859383
