fips,year,g,rel_year,ytilde,y0hat,tau_hat
6053,1986,Inf,-Inf,-0.009602003779505708,0.0,-0.009602003779505708
6053,1987,Inf,-Inf,0.01721991273491774,0.0,0.01721991273491774
6053,1988,Inf,-Inf,0.1015401812445571,0.0,0.1015401812445571
6053,1989,Inf,-Inf,0.06054137744957444,0.0,0.06054137744957444
6053,1990,Inf,-Inf,0.07069418744387423,0.0,0.07069418744387423
6053,1991,Inf,-Inf,0.04199555407210198,0.0,0.04199555407210198
6053,1992,Inf,-Inf,0.15128828821880358,0.0,0.15128828821880358
6055,1977,1991.0,-14.0,-0.30591191862374956,0.0,-0.30591191862374956
6055,1978,1991.0,-13.0,-0.26511492848687723,0.0,-0.26511492848687723
6055,1979,1991.0,-12.0,-0.09686427180823731,0.0,-0.09686427180823731
6055,1980,1991.0,-11.0,-0.05981926685906469,0.0,-0.05981926685906469
6055,1981,1991.0,-10.0,-0.02916973313844018,0.0,-0.02916973313844018
6055,1982,1991.0,-9.0,0.1338782611197793,0.0,0.1338782611197793
6055,1983,1991.0,-8.0,0.12005389233204333,0.0,0.12005389233204333
6055,1984,1991.0,-7.0,0.3221855731763297,0.0,0.3221855731763297
6055,1985,1991.0,-6.0,0.18076239228821933,0.0,0.18076239228821933
6055,1986,1991.0,-5.0,0.26907180902779526,0.0,0.26907180902779526
6055,1987,1991.0,-4.0,0.323739453327458,0.0,0.323739453327458
6055,1988,1991.0,-3.0,0.4907888144757875,0.0,0.4907888144757875
6055,1989,1991.0,-2.0,0.4586569082630856,0.0,0.4586569082630856
6055,1990,1991.0,-1.0,0.32954299510193596,0.0,0.32954299510193596
6055,1991,1991.0,0.0,0.3729110304897034,0.0,0.3729110304897034
6055,1992,1991.0,1.0,0.5731194117441554,0.0,0.5731194117441554
6057,1977,Inf,-Inf,-0.6910178700417537,0.0,-0.6910178700417537
6057,1978,Inf,-Inf,-0.24448040405291138,0.0,-0.24448040405291138
6057,1979,Inf,-Inf,-0.3539846507306814,0.0,-0.3539846507306814
6057,1980,Inf,-Inf,-0.39822517120820855,0.0,-0.39822517120820855
6057,1981,Inf,-Inf,-0.13841779137426435,0.0,-0.13841779137426435
6057,1982,Inf,-Inf,0.36470391616878484,0.0,0.36470391616878484
6057,1983,Inf,-Inf,0.2932992090493185,0.0,0.2932992090493185
6057,1984,Inf,-Inf,0.501320180467455,0.0,0.501320180467455
6057,1985,Inf,-Inf,0.6668025817222647,0.0,0.6668025817222647
6057,1986,Inf,-Inf,0.6555981685648407,0.0,0.6555981685648407
6057,1987,Inf,-Inf,0.6477452311555236,0.0,0.6477452311555236
6057,1988,Inf,-Inf,0.9364418611533631,0.0,0.9364418611533631
6057,1989,Inf,-Inf,0.7133819755018411,0.0,0.7133819755018411
6057,1990,Inf,-Inf,0.9355009585312519,0.0,0.9355009585312519
6057,1991,Inf,-Inf,1.0679847798092688,0.0,1.0679847798092688
6057,1992,Inf,-Inf,1.2875807340546102,0.0,1.2875807340546102
6059,1977,Inf,-Inf,-0.3300299758838001,0.0,-0.3300299758838001
6059,1978,Inf,-Inf,-0.28006053925728747,0.0,-0.28006053925728747
6059,1979,Inf,-Inf,-0.16372099328296752,0.0,-0.16372099328296752
6059,1980,Inf,-Inf,-0.05710760049296493,0.0,-0.05710760049296493
6059,1981,Inf,-Inf,0.021485348850129427,0.0,0.021485348850129427
6059,1982,Inf,-Inf,0.0930863110655995,0.0,0.0930863110655995
6059,1983,Inf,-Inf,0.1504299460637526,0.0,0.1504299460637526
6059,1984,Inf,-Inf,0.24379195082040006,0.0,0.24379195082040006
6059,1985,Inf,-Inf,0.32212555211713845,0.0,0.32212555211713845
6059,1986,Inf,-Inf,0.3665739907428254,0.0,0.3665739907428254
6059,1987,Inf,-Inf,0.4087622360589176,0.0,0.4087622360589176
6059,1988,Inf,-Inf,0.4408105148966275,0.0,0.4408105148966275
6059,1989,Inf,-Inf,0.4812051921243157,0.0,0.4812051921243157
6059,1990,Inf,-Inf,0.5196569998213958,0.0,0.5196569998213958
6059,1991,Inf,-Inf,0.5058037643184541,0.0,0.5058037643184541
6059,1992,Inf,-Inf,0.5087887556849955,0.0,0.5087887556849955
6061,1977,Inf,-Inf,-0.07142628026960551,0.0,-0.07142628026960551
6061,1978,Inf,-Inf,-0.1586516954885031,0.0,-0.1586516954885031
6061,1979,Inf,-Inf,0.0015647217677274838,0.0,0.0015647217677274838
6061,1980,Inf,-Inf,0.1271749257383501,0.0,0.1271749257383501
