tau-15.0,tau-14.0,tau-13.0,tau-12.0,tau-11.0,tau-10.0,tau-9.0,tau-8.0,tau-7.0,tau-6.0,tau-5.0,tau-4.0,tau-3.0,tau-2.0,tau-1.0,tau0.0,tau1.0,tau2.0,tau3.0,tau4.0,tau5.0,tau6.0
-0.002444625135256923,-0.017770255557484366,0.002308981246687397,0.013571795185531602,0.002671881338845531,-0.0003529589854565093,-0.010722214290127348,0.006512266726870401,0.002616566520574495,-0.0012713286690860164,-0.007278175899237216,0.004120744857934998,0.009864203944557611,-0.007987388041843546,-0.0015300934672475791,-0.009697870231544545,-0.03159168784186923,-0.022548349643156402,0.003379425578299213,-0.002459929872761446,-0.08326378418270253,-0.08084397428549706
0.0026445769272119297,-0.0019085727387948503,-0.0058782340675649775,0.0022178539126134545,0.007182638662445197,0.007435430640122948,-0.004986610511183228,0.006623665102218463,-0.004732844919233364,0.0014207960711008257,-0.008087767935967754,0.0018700603403110614,-0.0002562614623352114,-0.001990363263045166,0.00714071336531015,0.00010129043694385855,-0.013801089198602743,0.011251408061246113,0.0008275162675452913,-0.030627049840327564,-0.041528752741092134,-0.05933518601522699
0.0008010019886611752,0.0066851360595005255,-0.00021476735618645616,0.01437049364854409,0.0038729361033420255,-0.0014436537380617383,-0.009521442180133455,-0.0003296441871760129,-0.00706721021246331,-0.0018124275672381917,-0.00152312032907001,0.01503951927210445,0.00292092125598539,-0.005581980251213188,-0.0011556147209887673,-0.0005459326719918006,-0.015980791164564193,-0.026455893103019486,-0.015218799467107467,-0.05380831106687664,-0.07208537149924135,-0.08389576488905183
0.0002024065757493333,-0.010719942211690682,-0.014517988234904359,0.0005449545868525551,0.012512504413356315,0.0011868352099661768,-0.0083712178777532,-0.0027951151263930518,0.007346842899729318,0.008001664803778535,2.620917837126272e-5,0.0056068432677618,0.0014523777960808023,-0.007538025922390444,-0.006437050865130253,-0.002584593519810192,-0.04518822591546763,-0.02880432419328144,-0.08083351018571143,-0.1246553858264894,-0.11942561482415649,-0.26635704151128786
-0.03361555735198833,-0.013324292739292089,-0.011581007398568804,0.006571380983866066,0.011313617129725444,0.006060086713218851,0.0010030535894226347,-0.002970401551763088,-0.0033058827099220335,0.0009097050544409112,-0.0012095662375982107,0.0024815992473999917,-0.00030824813443515475,-0.003134784220467185,-0.001708885338705738,0.002649894115457739,-0.003332117168521306,-0.016156476026283038,-0.030146021510697573,-0.07543828325863641,-0.12359609164966316,-0.16358088432048296
-0.013183909909004757,-0.03250296761843984,-0.023775764807132435,-0.0056029799974913926,0.010329504255914761,0.003210657226227247,-0.009494803709145763,-0.014568916309485347,-0.005510079095688604,0.01604505794829497,0.011142817993407021,0.020573716593998485,0.024000946003327805,0.02233486980795446,0.028430533845762287,0.040846740021029136,0.033133009661816405,0.0730623047159395,0.07694950941712371,0.057118116851431006,-0.00938697689369379,-0.07225729207783645
-0.005741004499925377,-0.015783690216905767,-0.0009642675797085892,0.00984688395094044,0.0075652488559684716,0.0005558919518412461,-0.0003297940969555824,-0.0044635325398334,-0.007575651571373736,0.0030048172236810063,-0.0012171839934239656,0.007655451110927881,0.0011208039524404879,-0.002398565436835772,-0.005355846409160124,-0.004215263947381434,-0.018542880836960148,-0.017794402572394837,-0.032640956272334404,-0.06853142621037757,-0.10561401764446067,-0.12863580553377416
-0.021416893695951462,-0.01838199414614793,-0.009262137676919344,-0.0005747987674473707,0.008850398658036806,0.01205732932758695,-0.002607660737576205,-0.0037909741208009035,-0.001424410038094059,0.0029521845739540168,-0.0030026206724019545,0.003735787446765119,0.0012396777975587658,-0.009435864664134399,-0.0035361561851896027,-0.0020466890965869654,-0.023025525618463917,-0.006857018431244718,-0.02643046148005245,-0.028802493964019432,-0.021142606632630324,0.006823991861414734
-0.028257036351552564,-0.0033507832691158316,-0.014787322110847708,0.008475534513617376,0.015029438229240636,0.008763135394233859,-0.004430142393242948,0.0011739912969652194,-0.0012820999671851083,-0.0027796655485559773,-0.007442079427645991,-0.005766521425667222,0.00042860323005278395,0.003197010139046634,0.008559521238737936,0.015263111815770338,0.0002981639210175855,-0.003807253393437933,-0.04360243563877232,-0.08125529647799414,-0.04078828644505294,-0.07381459942910341
-0.008477271649117678,-0.017688869773793043,-0.02323471523165072,-0.001102503663147971,0.007708247475279377,0.010143938626944444,-0.0004662536565568567,0.006912573586043719,-0.005357211814096856,0.009090015564054666,-0.0012121189873132944,0.005003160935534702,-0.004132079223521384,-0.00964941732881273,-0.0006746889606711322,0.011652191553484272,-0.0019196082260896198,-0.025268768911520863,-0.041447312663249046,-0.05510796191921446,-0.05243489335336766,-0.032169674015322676
