fips,year,y,y0hat,tau_hat
34039,1980,9.92168749535444,,
34039,1981,9.96796673657236,,
34039,1982,9.96633140447636,,
34039,1983,9.9884031971772,,
34039,1984,9.99511281830122,,
34039,1985,10.0290960304701,,
34039,1986,9.99528629980933,,
34039,1987,9.99239348928989,,
34039,1988,10.0220092546727,,
34039,1989,10.0288414750264,,
34039,1990,9.97647363112885,,
34039,1991,9.99835398260992,,
34039,1992,9.75736829223637,,
34039,1993,10.0039806998288,,
34039,1994,9.91316441629227,,
34039,1995,9.935852021548,,
34039,1996,10.0133165344604,,
34039,1997,9.98624728098652,,
34039,1998,10.0925778461218,,
34039,1999,10.0745796570013,,
34041,1977,6.95158210400111,6.8801317234998,0.0714503805013145
34041,1978,6.9098534966586,7.05870226634826,-0.14884876968966
34041,1979,6.9594517301934,6.83601190130233,0.123439828891074
34041,1980,6.64707093784187,6.64490887640246,0.00216206143941555
34041,1981,6.63159699844512,6.69038542675699,-0.0587884283118685
34041,1982,6.93805097024031,7.05458690422727,-0.116535933986962
34041,1983,7.20198857428032,7.12900666585,0.0729819084303243
34041,1984,7.37653581881797,7.38082041055175,-0.00428459173378393
34041,1985,7.39497792960471,7.33655438521435,0.0584235443903607
34041,1986,7.24993159270419,7.36828913975228,-0.118357547048092
34041,1987,7.55153650990709,7.49066248027982,0.060874029627267
34041,1988,7.48032044752116,7.56933713714173,-0.089016689620566
34041,1989,7.49948537939307,7.47294556657681,0.0265398128162619
34041,1990,7.45835330855522,7.2625607039098,0.195792604645425
34041,1991,7.48532444545159,7.87081197302015,-0.385487527568564
34041,1992,7.45782698989836,8.42060648420774,-0.962779494309375
34041,1993,7.59179037844966,8.75449673907849,-1.16270636062883
34041,1994,7.61744096494708,8.66929915883661,-1.05185819388953
34041,1995,7.64297250324129,8.61536541126735,-0.972392908026062
34041,1996,7.56907706475933,8.74225693073192,-1.17317986597259
34041,1997,7.60756756292997,8.83476305151871,-1.22719548858874
34041,1998,7.54538977939839,8.33082394875649,-0.785434169358104
34041,1999,7.4838067174514,7.57053161101638,-0.0867248935649823
35007,1977,4.35228237871133,,
35007,1978,4.64636410379238,,
35007,1979,4.33824726802612,,
35007,1980,4.51493801210334,,
35007,1981,4.48502769056134,,
35007,1982,5.19562733047466,,
35007,1983,4.57782283417144,,
35007,1984,4.38240434333915,,
35007,1985,4.28643462100724,,
35007,1986,3.88332600336983,,
35007,1987,4.02388054128856,,
35007,1988,3.53352583719874,,
35007,1989,3.87017160118471,,
35007,1990,3.93696936082476,,
35007,1991,3.90569091621145,,
35007,1992,3.7329532121878,,
35007,1993,3.83383907858428,,
35007,1994,3.5646053155402,,
35007,1995,4.03850801550968,,
35007,1996,4.00829631211633,,
35007,1997,4.05962808418533,,
35007,1998,3.89182030905842,,
35007,1999,4.09434457811667,,
35015,1977,6.30560843012415,6.36205166150016,-0.0564432313760088
35015,1978,6.35530099192872,6.26806835125042,0.0872326406783044
35015,1979,6.34990237225748,6.38703396700858,-0.0371315947510951
35015,1980,6.37417530764669,6.37833181923646,-0.00415651158976615
35015,1981,6.39107112110039,6.38028775744402,0.0107833636563752
35015,1982,6.47462970931684,6.42612129973202,0.0485084095848176
35015,1983,6.30469912395436,6.29226320921378,0.0124359147405819
35015,1984,6.18828643216123,6.19203050107966,-0.0037440689184276
35015,1985,6.16661451997436,6.2240994422074,-0.0574849222330425
35015,1986,6.13935251226609,6.09810353816926,0.0412489740968294
35015,1987,6.00780921200783,5.82668160628806,0.181127605719766
35015,1988,5.91612387875118,6.2938260875082,-0.377702208757024
35015,1989,6.05472058225392,6.09822407504506,-0.0435034927911406
35015,1990,6.24333608978259,6.18131450406231,0.0620215857202844
35015,1991,6.16836333831601,5.98285053399177,0.185512804324239
35015,1992,6.06823771811796,5.70526306465097,0.362974653466987
35015,1993,6.18760068620342,5.72730550398843,0.460295182214991
35015,1994,6.21311945095424,5.70731696483134,0.5058024861229
35015,1995,6.15858594770238,5.77907084090004,0.379515106802339
35015,1996,6.08138885974832,5.45438731892431,0.627001540824007
35015,1997,6.12844493474217,5.27890036033729,0.849544574404876
35015,1998,6.07534605965781,5.28693449156844,0.788411568089372
35015,1999,6.0161571880469,5.2713145744584,0.7448426135885
