GISJOIN,YEAR,FSTATUS,REGION,DIVISION,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,URB_AREAA,AIANHHA,SEA,UATYPE,PLACDESC,CBD,AREANAME,SUPFLG01,SUPFPA03,SUPFLG04,SUPFLG05,SUPFLG06,PBSUM00,PBSUM01,PBSUM02,PBSUM03,PBSUM04,PBSUM05,PBSUM06,PBSUM07,PBSUM08,PBSUM09,PBSUM10,PBSUM11,PBSUM12,PBSUM13,PBSUM14,PBSUM15,PBSUM16,PBSUM17,PBSUM18,PBSUM19,PBSUM20,PBSUM21,PBSUM22,PBSUM23,PBSUM24,PBSUM25,PBSUM26,PBSUM27,PBSUM28,PBSUM29,PBSUM30,PBSUM31,PBSUM32,PBSUM33,PBSUM34,PBSUM35,PBSUM36,PBSUM37,PBSUM38,DR1001,DR1002,DR1003,DR1004,DR2001,DR2002,DR2003,DR2004,DR2005,DR2006,DR2007,DR2008,DR2009,DR2010,DR2011,DR2012,DR2013,DR3001,DR3002,DR3003,DR3004,DR3005,DR3006,DR3007,DR3008,DR3009,DR3010,DR3011,DR3012,DR3013,DR3014,DR3015,DR3016
"G3500290","1980","A","4","8","New Mexico","35",,"Luna","029",,,,,,,"03",,,,"LUNA COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2597,970,552,17,409,371,62,500,660,46,71,489,320,605,109,220,277,320,0,163,379,134,93,443,114,1114,226,33,39,201,35,573,278
"G3500310","1980","A","4","8","New Mexico","35",,"McKinley","031",,,,,,,"01",,,,"MCKINLEY COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",7362,6377,776,71,1399,2270,345,1264,2214,21,350,1922,167,2479,411,934,878,69,93,1537,882,183,630,1176,404,2438,448,187,211,360,83,4011,1986
"G3500330","1980","A","4","8","New Mexico","35",,"Mora","033",,,,,,,"02",,,,"MORA COUNTY",,,,,,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1",298,478,179,8,59,171,0,59,163,0,16,120,130,76,20,114,31,131,28,0,111,0,24,75,14,120,16,0,7,15,6,325,91
"G3500350","1980","A","4","8","New Mexico","35",,"Otero","035",,,,,,,"03",,,,"OTERO COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",6950,4607,855,43,1252,1701,603,1538,1711,107,281,1599,382,1744,544,544,449,283,261,23,855,286,614,734,215,2713,486,529,216,608,142,2498,1968
"G3500370","1980","A","4","8","New Mexico","35",,"Quay","037",,,,,,,"02",,,,"QUAY COUNTY",,,,,,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1",2439,946,587,55,394,444,92,391,456,28,78,584,510,440,105,290,221,514,0,0,490,64,14,298,86,957,131,12,77,312,9,741,306
"G3500390","1980","A","4","8","New Mexico","35",,"Rio Arriba","039",,,,,,,"01",,,,"RIO ARRIBA COUNTY",,,,,,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1",2807,3717,599,54,656,813,379,415,1106,15,215,1199,327,1019,268,362,464,182,257,118,1197,49,233,382,50,955,182,600,71,217,69,1695,998
"G3500410","1980","A","4","8","New Mexico","35",,"Roosevelt","041",,,,,,,"02",,,,"ROOSEVELT COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2734,1916,827,109,459,947,73,526,710,114,50,543,894,595,175,299,255,889,0,35,431,309,53,468,111,873,143,22,70,201,18,1793,235
"G3500430","1980","A","4","8","New Mexico","35","0200","Sandoval","043",,,,,,,"01",,,,"SANDOVAL COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",6657,2991,959,76,1070,1578,326,1011,1624,86,201,1192,334,1668,600,465,520,276,94,150,1190,284,968,761,340,1511,627,593,135,265,87,2360,1055
"G3500450","1980","A","4","8","New Mexico","35",,"San Juan","045",,,,,,,"01",,,,"SAN JUAN COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","0","1","1","0","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",19826,5744,1469,159,2339,3164,765,2388,3969,77,449,2482,460,6229,1290,2173,1556,468,17,3574,3499,606,874,3877,810,4057,1044,463,610,662,219,4898,1724
"G3500470","1980","A","4","8","New Mexico","35",,"San Miguel","047",,,,,,,"02",,,,"SAN MIGUEL COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2614,3252,699,25,658,1132,221,531,948,91,161,1190,328,692,115,226,324,254,112,41,547,54,102,393,118,1070,167,69,78,310,18,2768,521
"G3500490","1980","A","4","8","New Mexico","35",,"Santa Fe","049",,,,,,,"01",,,,"SANTA FE COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","1","1","0","0","0","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",17280,9793,3367,169,4141,5768,1362,3289,5347,203,609,3221,524,3528,642,852,1016,462,246,64,3214,576,891,1400,626,5488,1769,1845,391,1418,468,7157,4439
"G3500510","1980","A","4","8","New Mexico","35",,"Sierra","051",,,,,,,"03",,,,"SIERRA COUNTY",,,,,,"1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1",903,672,310,21,221,203,49,150,258,11,9,310,219,280,31,90,53,228,9,48,149,15,19,130,14,343,67,6,42,96,48,427,259
"G3500530","1980","A","4","8","New Mexico","35",,"Socorro","053",,,,,,,"03",,,,"SOCORRO COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1737,1827,298,7,341,569,300,227,513,39,139,559,199,458,103,187,192,182,91,69,309,16,93,261,38,608,101,211,55,154,28,1090,539
"G3500550","1980","A","4","8","New Mexico","35",,"Taos","055",,,,,,,"01",,,,"TAOS COUNTY",,,,,,"1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1",3705,1531,756,41,611,715,156,646,791,53,100,988,172,946,192,269,329,81,206,435,777,119,168,206,82,1350,218,60,71,516,161,1107,470
"G3500570","1980","A","4","8","New Mexico","35",,"Torrance","057",,,,,,,"02",,,,"TORRANCE COUNTY",,,,,,"1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1",1354,671,271,18,170,185,52,212,286,0,68,242,259,413,86,195,157,298,19,24,291,36,121,248,53,453,94,31,26,53,9,314,261
"G3500590","1980","A","4","8","New Mexico","35",,"Union","059",,,,,,,"02",,,,"UNION COUNTY",,,,,,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1",689,383,381,13,166,146,46,93,145,0,17,280,340,105,18,80,77,380,11,16,132,0,4,113,35,223,104,4,9,31,13,337,106
"G3500610","1980","A","4","8","New Mexico","35",,"Valencia","061",,,,,,,"01",,,,"VALENCIA COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","1","1","0","1","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",14341,4416,1374,106,1806,1616,630,1521,2548,89,434,2256,591,4688,854,1770,1364,589,63,4905,1754,317,686,1567,534,2878,745,242,407,500,125,3525,1379
"G3600010","1980","A","1","2","New York","36","0160","Albany","001",,,,,,,"F",,,,"ALBANY COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",77259,43299,5552,417,14935,20279,4780,11247,30861,415,2145,14504,1171,10787,5090,4274,4077,1147,10,29,4905,6466,6908,9096,4691,19154,7552,3245,1267,2930,1071,33336,23914
"G3600030","1980","A","1","2","New York","36",,"Allegany","003",,,,,,,"03",,,,"ALLEGANY COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","1","0","0","1","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",12487,4168,1556,190,1385,2589,561,1424,2674,139,231,2451,1008,2292,1975,943,703,1006,14,140,923,856,3930,873,507,2722,661,183,159,439,94,5174,692
"G3600050","1980","B","1","2","New York","36","5600","Bronx","005",,,,"70",,,"G",,,,"BRONX COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",261946,80056,10148,479,28799,36181,8255,27959,96894,2893,9379,49018,1043,33009,28104,14702,14252,388,31,180,11206,35105,21702,37433,15091,46818,37287,15212,4645,11769,3237,91069,17957
"G3600070","1980","A","1","2","New York","36","0960","Broome","007",,,,,,,"E",,,,"BROOME COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",68833,16993,4695,284,9256,14457,4083,8400,16137,291,1178,10393,835,9728,9816,3107,3015,693,0,16,3657,6247,23831,4653,3222,14238,3918,1587,849,2109,757,21636,3414
