b,dgp_num,N,T0,twfe,parallel_trends,ar_error_term,instrument_noise,estimator,rel_year,estimate,std.error,ci_lower,ci_upper,selected_p,true_te
13,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,0.9136176559963612,0.15817784195611456,0.603594782610108,1.2236405293826145,0,1
13,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,1.0322431143002997,0.1088873661485632,0.8188238766491156,1.2456623519514831,NA,1
13,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,1.0626880020701477,0.174349225025838,0.720963521019505,1.4044124831207898,2,1
13,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,1.0626880020701477,0.174349225025838,0.720963521019505,1.4044124831207898,2,1
14,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,1.336847688705895,0.1637754673594043,1.0158477726814628,1.6578476047303274,NA,1
14,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,1.224327348485783,0.12790875859055,0.9736261816483052,1.475028515323261,NA,1
14,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,1.2044071349763648,0.1288804401088062,0.9518014723631046,1.4570127975896248,NA,1
14,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,1.1970735294051942,0.07481321594113458,1.040570530389609,1.343707432649818,NA,1
14,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,1.1594246880205883,0.1366825344418042,0.8915318431989969,1.42731753284218,2,1
14,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,1.063428497825051,0.15494093348572188,0.7597498484620202,1.3671071471880818,0,1
14,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,1.0595692203199651,0.09929512862976762,0.8649507682056206,1.2541876724343095,NA,1
14,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,1.127624790336217,0.1509488766336562,0.8317649921342511,1.4234845885381835,2,1
14,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,1.127624790336217,0.1509488766336562,0.8317649921342511,1.4234845885381835,2,1
15,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,0.8273602559273127,0.1573394045642866,0.5189750229813109,1.1357454888733145,NA,1
15,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,0.7605436371039915,0.12736396898756153,0.510910257888371,1.0101770163196122,NA,1
15,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,0.7576955152527256,0.12761259622577664,0.5075748266502034,1.0078162038552478,NA,1
15,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,0.670192547447535,0.1887184925017431,0.36005493630925156,1.0400807927509514,NA,1
15,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,0.7749323169471964,0.12873430901291266,0.5226177077072376,1.0272469261871553,2,1
15,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,0.826057684766082,0.1583795367960458,0.515639496757696,1.136475872774468,0,1
15,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,0.8959152576645274,0.10171522180783069,0.6965534229211793,1.0952770924078756,NA,1
