b,dgp_num,T_0,estimator,true_te,rel_year,estimate,std.error,ci_lower,ci_upper,selected_p
51,1,4,QLD ($p$ estimated),1,0,0.28878680078353175,1.4120150340315163,-2.47876266591824,3.0563362674853036,2
52,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.060106091030786,0.16650378095708993,4.73375868035489,5.386453501706682,NA
52,1,4,QLD ($p$ known),1,0,2.1787898236813046,6.722717845078588,-10.997737152672729,15.355316800035336,2
52,1,4,QLD ($p$ estimated),1,0,1.1476992031283288,1.448902683564312,-1.6921500566577226,3.98754846291438,1
53,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.340194149988787,0.17717426674418105,4.992932587170192,5.687455712807382,NA
53,1,4,QLD ($p$ known),1,0,-1.2773929216047932,2.262490391650058,-5.711874089238907,3.1570882460293204,2
53,1,4,QLD ($p$ estimated),1,0,-0.1266540975883647,1.21055059754259,-2.4993332687718413,2.2460250735951117,1
54,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.895283714936404,0.16719815112495712,4.567575338731489,5.22299209114132,NA
54,1,4,QLD ($p$ known),1,0,-0.682692377995401,1.5374317891281335,-3.696058684686543,2.3306739286957407,2
54,1,4,QLD ($p$ estimated),1,0,-1.329831674150771,1.1428254873792527,-3.5697696294141066,0.9101062811125644,1
55,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.144019039470637,0.18670954825749048,4.778068324885956,5.509969754055318,NA
55,1,4,QLD ($p$ known),1,0,1.9327137958886216,1.7998664331436467,-1.595024413072926,5.460452004850168,2
55,1,4,QLD ($p$ estimated),1,0,25.635500920585137,0.5696468844137398,24.518993027134208,26.752008814036067,0
56,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.79769631553232,0.17593223347916298,4.45286913791316,5.142523493151479,NA
56,1,4,QLD ($p$ known),1,0,0.577962580717244,1.9132649551576848,-3.172036731391818,4.327961892826306,2
56,1,4,QLD ($p$ estimated),1,0,0.577962580717244,1.9132649551576848,-3.172036731391818,4.327961892826306,2
57,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.710845240480236,0.1819490216677839,4.3542251580113795,5.067465322949092,NA
57,1,4,QLD ($p$ known),1,0,-3.920480388990061,9.848209110168192,-23.22297024491972,15.382009466939596,2
57,1,4,QLD ($p$ estimated),1,0,24.47663914469946,0.5144060422305777,23.468403301927527,25.48487498747139,0
58,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.582531781485719,0.16599073396163208,4.25718994292092,4.907873620050518,NA
58,1,4,QLD ($p$ known),1,0,-2.4535328239053955,1.622389834818598,-5.6334169001498475,0.7263512523390565,2
58,1,4,QLD ($p$ estimated),1,0,-2.4535328239053955,1.622389834818598,-5.6334169001498475,0.7263512523390565,2
59,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.7724109592907,0.18014897215698117,4.4193189738630165,5.1255029447183835,NA
59,1,4,QLD ($p$ known),1,0,-0.7559163752824416,1.8258596816258232,-4.334601351269055,2.8227686007041717,2
59,1,4,QLD ($p$ estimated),1,0,25.029903430168023,0.49179144536186326,24.065992197258772,25.993814663077274,0
60,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.745170699305293,0.17199821719152955,4.408054193609895,5.08228720500069,NA
