b,dgp_num,T_0,estimator,true_te,rel_year,estimate,std.error,ci_lower,ci_upper,selected_p
629,1,4,QLD ($p$ estimated),1,0,24.752092842666254,0.5079028390677627,23.75660327809344,25.74758240723907,0
630,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.727041292164084,0.1733587057551221,4.387258228884044,5.0668243554441235,NA
630,1,4,QLD ($p$ known),1,0,3.9111373747880567,3.947469028508762,-3.825901921089117,11.64817667066523,2
630,1,4,QLD ($p$ estimated),1,0,3.9111373747880567,3.947469028508762,-3.825901921089117,11.64817667066523,2
631,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.877694061264664,0.17701841697826287,4.530737963987269,5.22465015854206,NA
631,1,4,QLD ($p$ known),1,0,-3.0307793036589783,2.774345229167708,-8.468495952827686,2.406937345509729,2
631,1,4,QLD ($p$ estimated),1,0,-3.0307793036589783,2.774345229167708,-8.468495952827686,2.406937345509729,2
632,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.926894703864218,0.1786873462917105,4.576667505132466,5.277121902595971,NA
632,1,4,QLD ($p$ known),1,0,2.521908870609002,2.535429227509572,-2.4475324153097584,7.491350156527762,2
632,1,4,QLD ($p$ estimated),1,0,25.088902953515813,0.4940093283022184,24.120644670043465,26.05716123698816,0
633,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.868561864186294,0.17735795250735295,4.520940277271882,5.216183451100705,NA
633,1,4,QLD ($p$ known),1,0,1.620051310297383,3.2508073417562446,-4.751531079544856,7.991633700139623,2
633,1,4,QLD ($p$ estimated),1,0,1.620051310297383,3.2508073417562446,-4.751531079544856,7.991633700139623,2
634,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.0797995912200005,0.18607534953150737,4.715091906138246,5.444507276301755,NA
634,1,4,QLD ($p$ known),1,0,-1.5177741171911778,2.4202427570590666,-6.261449921026948,3.225901686644592,2
634,1,4,QLD ($p$ estimated),1,0,-1.5177741171911778,2.4202427570590666,-6.261449921026948,3.225901686644592,2
635,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.0786220999881815,0.18103398546464544,4.723795488477476,5.433448711498887,NA
635,1,4,QLD ($p$ known),1,0,-4.426007145219004,6.753533695466769,-17.66293318833387,8.810918897895863,2
635,1,4,QLD ($p$ estimated),1,0,25.435969850566224,0.4809538604323251,24.493300284118867,26.37863941701358,0
636,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.084187140678592,0.18446033001283388,4.722644893853438,5.4457293875037465,NA
636,1,4,QLD ($p$ known),1,0,2.6223669485225387,1.7641905656941272,-0.8354465602379508,6.080180457283028,2
636,1,4,QLD ($p$ estimated),1,0,26.00521844131156,0.5024766524412503,25.020364202526707,26.99007268009641,0
637,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.739333029244413,0.1873271921917027,4.372171732548676,5.106494325940151,NA
637,1,4,QLD ($p$ known),1,0,-1.7146853324287334,2.4933587191231608,-6.601668421910128,3.172297757052661,2
637,1,4,QLD ($p$ estimated),1,0,-1.7146853324287334,2.4933587191231608,-6.601668421910128,3.172297757052661,2
638,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.000295422140481,0.1807336202423381,4.646057526465499,5.354533317815464,NA
638,1,4,QLD ($p$ known),1,0,-0.8497785988325209,1.918823889418907,-4.610673422093578,2.9111162244285365,2
638,1,4,QLD ($p$ estimated),1,0,-0.8497785988325209,1.918823889418907,-4.610673422093578,2.9111162244285365,2
639,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.833536497362357,0.183666801459283,4.473549566502163,5.1935234282225515,NA
639,1,4,QLD ($p$ known),1,0,-0.9052558403559016,0.9294477108962508,-2.7269733537125536,0.91646167300075,2
639,1,4,QLD ($p$ estimated),1,0,-0.8789408517792108,0.91639399954777645,-2.6750730908928526,0.9171913873344312,1
640,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.832061547461853,0.1857106260583317,4.468068720387523,5.196054374536184,NA
640,1,4,QLD ($p$ known),1,0,-1.8112697616829696,5.438852646716643,-12.47142094924759,8.848881425881649,2
640,1,4,QLD ($p$ estimated),1,0,-2.7872713670027047,3.4432531038006085,-9.536047450451898,3.961504716446488,1
641,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.667544142560925,0.19425740557744167,4.286799627629139,5.048288657492711,NA
641,1,4,QLD ($p$ known),1,0,-1.5517487871237758,3.250628633789634,-7.922980909351458,4.819483335103906,2
641,1,4,QLD ($p$ estimated),1,0,-3.586630370425721,1.8380883006361608,-7.189283439672596,0.01602269882115337,1
642,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.907144739697943,0.17262130171232865,4.568806988341779,5.245482491054107,NA
642,1,4,QLD ($p$ known),1,0,5.207039999358446,2.8390101131915677,-0.3574198224970271,10.77149982121392,2
642,1,4,QLD ($p$ estimated),1,0,5.207039999358446,2.8390101131915677,-0.3574198224970271,10.77149982121392,2
643,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.964916369761043,0.17197371296183858,4.627847892355839,5.3019848471662465,NA
643,1,4,QLD ($p$ known),1,0,0.18690859966017823,1.4441755603248128,-2.643675498576455,3.0174926978968113,2
643,1,4,QLD ($p$ estimated),1,0,-1.1794617061754435,1.1364969402207994,-3.4069957090082106,1.0480722966573233,1
644,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.8656495149788235,0.17397086413675986,4.524666621270774,5.206632408686873,NA
644,1,4,QLD ($p$ known),1,0,0.32771287807821403,1.530489362801882,-2.672046273013475,3.327472029169903,2
644,1,4,QLD ($p$ estimated),1,0,0.32771287807821403,1.530489362801882,-2.672046273013475,3.327472029169903,2
645,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.11745799204681,0.1779937435284913,4.768590254730967,5.466325729362653,NA
645,1,4,QLD ($p$ known),1,0,-1.5623035279582238,1.3368111513024246,-4.182453384510976,1.057846328594528,2
645,1,4,QLD ($p$ estimated),1,0,-2.041015310373796,1.211016207152976,-4.414607076393629,0.33257645564603644,1
646,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.211500895043134,0.1827286884838009,4.853352665614884,5.5696491244713835,NA
646,1,4,QLD ($p$ known),1,0,-1.3871399318455655,4.265539413417914,-9.747597182144675,6.973317318453546,2
646,1,4,QLD ($p$ estimated),1,0,25.413866675566883,0.47178041615373273,24.48917705990557,26.3385562912282,0
647,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.7952119310543155,0.16112665956766578,4.479403678301691,5.11102018380694,NA
647,1,4,QLD ($p$ known),1,0,-3.352706163668586,4.63900476760367,-12.44515550817178,5.739743180834608,2
647,1,4,QLD ($p$ estimated),1,0,-0.33688553844682817,1.3088793551021252,-2.9022890744469936,2.2285179975533373,1
648,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.93873705256263,0.17671232139603216,4.592380902626408,5.285093202498853,NA
648,1,4,QLD ($p$ known),1,0,3.4804241344928357,1.9841560251382329,-0.4085216747781004,7.369369943763772,2
648,1,4,QLD ($p$ estimated),1,0,3.4804241344928357,1.9841560251382329,-0.4085216747781004,7.369369943763772,2
649,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.252432445679154,0.18502857984799612,4.889776429177082,5.615088462181226,NA
649,1,4,QLD ($p$ known),1,0,5.122008595262873,15.339266316173402,-24.942953384436997,35.18697057496274,2
649,1,4,QLD ($p$ estimated),1,0,25.42524555147605,0.5104934119556069,24.42467846404306,26.42581263890904,0
650,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.99035591685484,0.17621407125146363,4.644976337201971,5.335735496507709,NA
650,1,4,QLD ($p$ known),1,0,-1.3395855380706003,3.6833562922476504,-8.558963870875996,5.8797927947347945,2
650,1,4,QLD ($p$ estimated),1,0,-1.725765009192615,2.008305216132963,-5.662043232813223,2.2105132144279924,1
651,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.90766400261452,0.17476665804472408,4.565121352846861,5.250206652382179,NA
651,1,4,QLD ($p$ known),1,0,-1.344994716716364,1.3414882517719826,-3.9743116901894497,1.2843222567567218,2
651,1,4,QLD ($p$ estimated),1,0,-0.8472885618562405,0.9839652825606778,-2.775860515675169,1.081283391962688,1
652,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.798993923299953,0.1679803431112939,4.469752450801817,5.1282353957980895,NA
652,1,4,QLD ($p$ known),1,0,-0.40857121515112055,3.6022154154390975,-7.468913429411751,6.651770999109511,2
652,1,4,QLD ($p$ estimated),1,0,-0.40857121515112055,3.6022154154390975,-7.468913429411751,6.651770999109511,2
653,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.066718093343276,0.1847353204467153,4.704636865267714,5.428799321418838,NA
653,1,4,QLD ($p$ known),1,0,1.4170637332078708,1.7661229626809,-2.044537273646693,4.878664740062434,2
653,1,4,QLD ($p$ estimated),1,0,1.4170637332078708,1.7661229626809,-2.044537273646693,4.878664740062434,2
654,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.975469649871551,0.172634880829051,4.637105283446611,5.31383401629649,NA
654,1,4,QLD ($p$ known),1,0,1.696894212278132,4.224045898476945,-6.5822357487366805,9.976024173292943,2
654,1,4,QLD ($p$ estimated),1,0,1.696894212278132,4.224045898476945,-6.5822357487366805,9.976024173292943,2
655,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.205705367326871,0.17746188814034386,4.857880066571798,5.553530668081945,NA
655,1,4,QLD ($p$ known),1,0,-0.1589846829586921,1.7719375061757483,-3.631982195063159,3.3140128291457747,2
655,1,4,QLD ($p$ estimated),1,0,0.15023430452592157,0.9372270553314732,-1.686730723923766,1.9871993329756092,1
656,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.0057099915929735,0.1760566350099816,4.660638986973409,5.350780996212538,NA
656,1,4,QLD ($p$ known),1,0,0.5962146638710782,3.4103620991429273,-6.088095050449059,7.280524378191215,2
656,1,4,QLD ($p$ estimated),1,0,-2.419682665774295,1.4362840553426888,-5.234799414245965,0.395434082697375,1
657,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.212159041789816,0.17835418110350257,4.862584846826951,5.561733236752681,NA
657,1,4,QLD ($p$ known),1,0,-0.40677495961508225,1.706062536472355,-3.750657531100898,2.9371076118707338,2
657,1,4,QLD ($p$ estimated),1,0,-0.40677495961508225,1.706062536472355,-3.750657531100898,2.9371076118707338,2
658,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.173059281997839,0.19276920453057847,4.795231641117905,5.550886922877773,NA
658,1,4,QLD ($p$ known),1,0,-1.822891254342309,5.737537287872577,-13.06846433857256,9.422681829887942,2
658,1,4,QLD ($p$ estimated),1,0,25.522964098305376,0.49912970498753495,24.54466987652981,26.501258320080943,0
659,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.8805812500197865,0.1809729441711423,4.525874279444348,5.235288220595225,NA
659,1,4,QLD ($p$ known),1,0,0.1169529265687742,2.1129904283722936,-4.024508313040921,4.258414166178469,2
659,1,4,QLD ($p$ estimated),1,0,0.1169529265687742,2.1129904283722936,-4.024508313040921,4.258414166178469,2
660,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.703266100590223,0.17428015942532613,4.361676988116584,5.044855213063863,NA
660,1,4,QLD ($p$ known),1,0,4.3215099436206,4.613034603922082,-4.72003788006668,13.36305776730788,2
660,1,4,QLD ($p$ estimated),1,0,24.82227122025583,0.505508717841695,23.831474133286108,25.81306830722555,0
661,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.972407042320683,0.17687979328309303,4.625722647485821,5.319091437155546,NA
661,1,4,QLD ($p$ known),1,0,-5.407548688311356,4.29832140197409,-13.832258636180573,3.0171612595578603,2
661,1,4,QLD ($p$ estimated),1,0,25.202387139038805,0.4875230048814396,24.246842049471184,26.157932228606427,0
662,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.141315858390701,0.18745750933254313,4.773899140098917,5.508732576682486,NA
662,1,4,QLD ($p$ known),1,0,2.062811114506469,1.474917010509898,-0.828026226092931,4.953648455105869,2
662,1,4,QLD ($p$ estimated),1,0,2.0593458182076976,1.1743422676108173,-0.2423650263095043,4.3610566627248994,1
663,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.784255627397661,0.16927855350196522,4.452469662533809,5.116041592261513,NA
663,1,4,QLD ($p$ known),1,0,1.7073932530837352,3.0200178314131887,-4.211841696486115,7.626628202653585,2
663,1,4,QLD ($p$ estimated),1,0,-1.0199987113480635,1.077304070956538,-3.131514690422878,1.0915172677267506,1
664,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.710691697243374,0.16358011963377367,4.390074662761178,5.03130873172557,NA
664,1,4,QLD ($p$ known),1,0,0.6305693767615124,3.1593008062105294,-5.561660203411125,6.822798956934149,2
664,1,4,QLD ($p$ estimated),1,0,-1.0086249330606605,0.9654662479392784,-2.9009387790216463,0.8836889129003251,1
665,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.7891195081288735,0.1735743438313482,4.448913794219431,5.129325222038316,NA
665,1,4,QLD ($p$ known),1,0,-1.6213844777105446,4.343847499938824,-10.135325577590638,6.89255662216955,2
665,1,4,QLD ($p$ estimated),1,0,-1.6213844777105446,4.343847499938824,-10.135325577590638,6.89255662216955,2
666,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.522118881463538,0.16740864772845182,4.193997931915772,4.8502398310113035,NA
666,1,4,QLD ($p$ known),1,0,-1.9729939907506735,2.9411522645429633,-7.737652429254881,3.791664447753534,2
666,1,4,QLD ($p$ estimated),1,0,-1.9729939907506735,2.9411522645429633,-7.737652429254881,3.791664447753534,2
667,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.135071307743182,0.18384903663142652,4.774727195945586,5.495415419540778,NA
667,1,4,QLD ($p$ known),1,0,0.6652480185108337,14.62080743264644,-27.991534549476185,29.322030586497853,2
667,1,4,QLD ($p$ estimated),1,0,25.499206531169182,0.548080232490673,24.424969275487463,26.573443786850905,0
668,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.0896406462570845,0.17439677074498405,4.7478229755969155,5.4314583169172534,NA
668,1,4,QLD ($p$ known),1,0,-1.147352808423221,6.151815605972384,-13.204911396129097,10.910205779282652,2
668,1,4,QLD ($p$ estimated),1,0,2.036768436595238,0.927255611254996,0.21934743853544592,3.85418943465503,1
669,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.622733331378122,0.1800209422030427,4.269892284660158,4.975574378096085,NA
669,1,4,QLD ($p$ known),1,0,3.784894004938995,4.852425668792523,-5.725860305894351,13.29564831577234,2
669,1,4,QLD ($p$ estimated),1,0,3.784894004938995,4.852425668792523,-5.725860305894351,13.29564831577234,2
670,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.815161874812532,0.17449161087796028,4.47315831749173,5.1571654321333344,NA
670,1,4,QLD ($p$ known),1,0,-0.2519736259731348,5.0222709581654925,-10.0956247039775,9.591677452031233,2
670,1,4,QLD ($p$ estimated),1,0,-0.2519736259731348,5.0222709581654925,-10.0956247039775,9.591677452031233,2
671,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.988409089914733,0.17881194029290148,4.637937686940647,5.33888049288882,NA
671,1,4,QLD ($p$ known),1,0,-2.4061783889663713,4.724987864632009,-11.667154603645107,6.854797825712367,2
671,1,4,QLD ($p$ estimated),1,0,-1.772939876077906,1.4385024043748116,-4.592404588652537,1.0465248364967248,1
672,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.211052190922803,0.17899045204571154,4.860230904913209,5.561873476932398,NA
672,1,4,QLD ($p$ known),1,0,6.527114047196856,3.239554064047045,0.17758808166464846,12.876640012729064,2
672,1,4,QLD ($p$ estimated),1,0,5.333291917168375,2.447187469492127,0.5368044769638063,10.129779357372945,1
673,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.830479250256119,0.1852108638097316,4.467465957189045,5.1934925433231935,NA
673,1,4,QLD ($p$ known),1,0,-0.6534087272133571,2.512783658193973,-5.578464697273543,4.2716472428468295,2
673,1,4,QLD ($p$ estimated),1,0,-0.6534087272133571,2.512783658193973,-5.578464697273543,4.2716472428468295,2
674,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.220559991725795,0.1703675218347046,4.8866396489297745,5.554480334521816,NA
674,1,4,QLD ($p$ known),1,0,6.047379742112804,5.540734393251892,-4.812459668660903,16.907219152886512,2
674,1,4,QLD ($p$ estimated),1,0,6.047379742112804,5.540734393251892,-4.812459668660903,16.907219152886512,2
675,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.141413419196242,0.16642166326803473,4.815226959190894,5.4675998792015905,NA
675,1,4,QLD ($p$ known),1,0,1.0760179095284153,1.8871206194100596,-2.6227385045153015,4.774774323572132,2
675,1,4,QLD ($p$ estimated),1,0,-1.28994622916206,1.2738193473136252,-3.786632149896765,1.2067396915726452,1
676,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.5722962333072275,0.17497081145387022,4.229353442857642,4.915239023756813,NA
676,1,4,QLD ($p$ known),1,0,1.28032390243731,6.301645410097048,-11.070901101352904,13.631548906227524,2
676,1,4,QLD ($p$ estimated),1,0,-3.768235976007361,1.8740313673456277,-7.441337456004791,-0.09513449600993074,1
677,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.862668901536392,0.18141180230204187,4.50710176902439,5.218236034048394,NA
677,1,4,QLD ($p$ known),1,0,1.3030867850239165,2.136482046153531,-2.8844180254370047,5.490591595484838,2
677,1,4,QLD ($p$ estimated),1,0,1.3030867850239165,2.136482046153531,-2.8844180254370047,5.490591595484838,2
678,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.9925834157474265,0.1813212395157297,4.637193786296597,5.347973045198256,NA
678,1,4,QLD ($p$ known),1,0,-1.73234501549479,1.4499776034594187,-4.574301118275251,1.1096110872856708,2
678,1,4,QLD ($p$ estimated),1,0,-1.73234501549479,1.4499776034594187,-4.574301118275251,1.1096110872856708,2
679,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.966495730389513,0.17880388275122147,4.61604012019712,5.316951340581907,NA
679,1,4,QLD ($p$ known),1,0,-4.230389083147262,4.788777336828836,-13.616392663331782,5.1556144970372575,2
679,1,4,QLD ($p$ estimated),1,0,-4.230389083147262,4.788777336828836,-13.616392663331782,5.1556144970372575,2
680,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.690993204375719,0.17504355508190472,4.347907836415185,5.034078572336252,NA
680,1,4,QLD ($p$ known),1,0,-0.6654957500305305,2.099232564344624,-4.779991576145994,3.4490000760849324,2
680,1,4,QLD ($p$ estimated),1,0,-0.6654957500305305,2.099232564344624,-4.779991576145994,3.4490000760849324,2
681,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.97648186340604,0.1774724603356065,4.628635841148251,5.324327885663829,NA
681,1,4,QLD ($p$ known),1,0,-0.09310764523990496,11.147557486693296,-21.942320319158764,21.756105028678956,2
681,1,4,QLD ($p$ estimated),1,0,-0.09310764523990496,11.147557486693296,-21.942320319158764,21.756105028678956,2
682,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.7530466409210765,0.1814488895708691,4.397406817362173,5.10868646447998,NA
682,1,4,QLD ($p$ known),1,0,-1.013086462746304,2.6650144996354133,-6.236514882031714,4.210341956539106,2
682,1,4,QLD ($p$ estimated),1,0,25.25763018291394,0.501375932602933,24.27493335501219,26.240327010815687,0
683,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.802522477342471,0.17028629764406655,4.4687613339601,5.136283620724842,NA
683,1,4,QLD ($p$ known),1,0,1.2043214855109865,3.0993530042513964,-4.870410402821751,7.279053373843723,2
683,1,4,QLD ($p$ estimated),1,0,1.2043214855109865,3.0993530042513964,-4.870410402821751,7.279053373843723,2
684,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.888289958744874,0.1751582389395683,4.54497981042332,5.231600107066428,NA
684,1,4,QLD ($p$ known),1,0,2.091933305116699,6.68078371388387,-11.002402774095684,15.186269384329083,2
684,1,4,QLD ($p$ estimated),1,0,25.037577230852214,0.505145149345205,24.047492738135613,26.027661723568816,0
685,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.78761086440346,0.17127113486784187,4.45191944006249,5.12330228874443,NA
685,1,4,QLD ($p$ known),1,0,1.4169207540333528,0.9288886029626858,-0.4037009077735114,3.237542415840217,2
685,1,4,QLD ($p$ estimated),1,0,1.5274052889386525,0.8925527897215717,-0.221998178915628,3.276808756792933,1
686,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.845628173324101,0.17503292230591555,4.502563645604507,5.188692701043696,NA
686,1,4,QLD ($p$ known),1,0,-1.7258770237108587,1.7801341179850232,-5.214939894961504,1.7631858475397868,2
686,1,4,QLD ($p$ estimated),1,0,-1.599244461172685,1.6720460970773152,-4.876454811444223,1.6779658890988527,1
687,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.999263947292984,0.1902241641588459,4.6264245855416455,5.372103309044322,NA
687,1,4,QLD ($p$ known),1,0,-0.033273257525159,3.0180553275784834,-5.948661699578986,5.8821151845286686,2
687,1,4,QLD ($p$ estimated),1,0,0.08833698240380747,1.2325798607423837,-2.327519544651264,2.504193509458879,1
688,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.972165854015579,0.17599031016916925,4.627224846084007,5.31710686194715,NA
688,1,4,QLD ($p$ known),1,0,-17.45831900423603,39.08508438966108,-94.06508440797174,59.14844639949968,2
688,1,4,QLD ($p$ estimated),1,0,25.614450102492988,0.5330343651901881,24.569702746720218,26.65919745826576,0
689,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.828895493073743,0.1678224183694615,4.499963553069598,5.1578274330778875,NA
689,1,4,QLD ($p$ known),1,0,-2.541037016353767,2.2209634005123458,-6.894125281357965,1.8120512486504303,2
689,1,4,QLD ($p$ estimated),1,0,-2.541037016353767,2.2209634005123458,-6.894125281357965,1.8120512486504303,2
690,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.254573650260586,0.1891408524695232,4.8838575794203205,5.625289721100852,NA
690,1,4,QLD ($p$ known),1,0,-7.864164314920525,11.797653803584758,-30.987565769946652,15.2592371401056,2
690,1,4,QLD ($p$ estimated),1,0,25.31764368623785,0.5129370992486566,24.312286971710485,26.323000400765217,0
691,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.646143861598587,0.1682393232818566,4.316394787966148,4.975892935231025,NA
691,1,4,QLD ($p$ known),1,0,2.37310837488653,2.5744297382095542,-2.672773912004196,7.418990661777256,2
691,1,4,QLD ($p$ estimated),1,0,-0.17120346255721544,0.780484138134915,-1.7009523733016487,1.358545448187218,1
692,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.187239658097354,0.17823507199763786,4.837898916981985,5.536580399212724,NA
692,1,4,QLD ($p$ known),1,0,-3.546437532313804,9.149218911393374,-21.478906598644816,14.38603153401721,2
692,1,4,QLD ($p$ estimated),1,0,-10.792478496096976,9.702102766954516,-29.808599919327825,8.223642927133874,1
693,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.7579978514581915,0.17640461988462353,4.412244796484329,5.103750906432054,NA
693,1,4,QLD ($p$ known),1,0,0.9796964449846696,2.7336636559699983,-4.378284320716526,6.337677210685866,2
693,1,4,QLD ($p$ estimated),1,0,-1.3949438663111264,1.6463798647962593,-4.621848401311794,1.8319606686895415,1
694,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.0227083709566775,0.18069796449771852,4.668540360541149,5.376876381372206,NA
694,1,4,QLD ($p$ known),1,0,-2.0513854047482742,4.159850256514135,-10.204691907515976,6.10192109801943,2
694,1,4,QLD ($p$ estimated),1,0,-0.16998670244373792,0.849722900438544,-1.8354435873032844,1.4954701824158083,1
695,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.823556808813252,0.1603799309028247,4.509212144243715,5.137901473382788,NA
695,1,4,QLD ($p$ known),1,0,2.070737570278225,2.9049193072861823,-3.622904272002693,7.764379412559142,2
695,1,4,QLD ($p$ estimated),1,0,0.3380904526690786,0.8640098820454418,-1.3553689161399871,2.0315498214781447,1
696,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.138295723995458,0.19508917575469517,4.755920939516255,5.520670508474661,NA
696,1,4,QLD ($p$ known),1,0,7.0314387491669885,5.2776336794719585,-3.312723262598049,17.375600760932027,2
696,1,4,QLD ($p$ estimated),1,0,7.0314387491669885,5.2776336794719585,-3.312723262598049,17.375600760932027,2
697,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.051641458347644,0.18398857451704673,4.691023852294233,5.412259064401056,NA
697,1,4,QLD ($p$ known),1,0,0.5859044023475473,6.813740743453805,-12.769027454821911,13.940836259517004,2
697,1,4,QLD ($p$ estimated),1,0,24.66727407105602,0.4962679317230691,23.694588924878804,25.639959217233237,0
698,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.133495776484525,0.17675920423323915,4.787047736187376,5.479943816781673,NA
698,1,4,QLD ($p$ known),1,0,-3.22542884562332,8.007639899742008,-18.920403049117656,12.469545357871016,2
698,1,4,QLD ($p$ estimated),1,0,26.036990292918176,0.5561938809914446,24.946850286174943,27.12713029966141,0
699,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.8918008372478035,0.17061586527730596,4.557393741304284,5.226207933191323,NA
699,1,4,QLD ($p$ known),1,0,3.771845855622133,4.717172456651624,-5.47381215941505,13.017503870659317,2
699,1,4,QLD ($p$ estimated),1,0,24.95675161836014,0.511675803390078,23.953867043715587,25.959636193004695,0
700,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.056995240077736,0.17576872237272503,4.712488544227195,5.401501935928277,NA
700,1,4,QLD ($p$ known),1,0,-3.1516681080939444,4.124157132717974,-11.235016088221172,4.931679872033285,2
700,1,4,QLD ($p$ estimated),1,0,-2.874988283043879,1.988805948548268,-6.773047942198485,1.0230713761107264,1
701,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.74042015808521,0.17053583742348014,4.406169916735189,5.074670399435231,NA
701,1,4,QLD ($p$ known),1,0,2.450184212874605,4.238099169814248,-5.8564901599613215,10.756858585710532,2
701,1,4,QLD ($p$ estimated),1,0,2.450184212874605,4.238099169814248,-5.8564901599613215,10.756858585710532,2
702,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.245230471613345,0.1753341122583753,4.90157561158693,5.58888533163976,NA
702,1,4,QLD ($p$ known),1,0,6.469177023768812,6.417544367610069,-6.109209936746923,19.047563984284547,2
702,1,4,QLD ($p$ estimated),1,0,6.469177023768812,6.417544367610069,-6.109209936746923,19.047563984284547,2
703,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.909344025304563,0.16793278519389152,4.580195766324535,5.2384922842845905,NA
